,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
0,Jakarta Barat,KEC.KEMBANGAN,KEMBANGAN SELATAN,RW. 09,1.0,2.0,0.0,0.0,15 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Jakarta Selatan,KEC.KEBAYORAN LAMA,CIPULIR,RW. 10,1.0,1.0,0.0,0.0,20 s/d 50 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Jakarta Selatan,KEC.KEBAYORAN LAMA,PONDOK PINANG,"RW 05, 08",2.0,3.0,0.0,0.0,10 s/d 40 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jakarta Selatan,KEC.CILANDAK,PONDOK LABU,"RW. 01, 03, 07, 10",4.0,8.0,0.0,0.0,10 s/d 80 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Jakarta Selatan,KEC.KEBAYORAN BARU,PETOGOGAN,"RW. 02, 03",2.0,22.0,0.0,0.0,10 s/d 20 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Jakarta Timur,KEC. CIRACAS,RAMBUTAN,"RW. 03, 04, 06",3.0,6.0,0.0,0.0,20 s/d 30 cm,tgl.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Jakarta Barat,CENGKARENG,RAWA BUAYA,"RW 01, 02, 04",3.0,0.0,0.0,0.0,20 - 25 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,RW 02,1.0,0.0,0.0,0.0,30 - 60 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,RW 01,1.0,0.0,15.0,96.0,20 - 70 cm,"27
(1 Hari)",0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
9,Jakarta Selatan,CILANDAK,CIPETE SELATAN,"RW 01, 03, 07",3.0,0.0,0.0,0.0,70 - 80 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0
10,Jakarta Selatan,CILANDAK,PONDOK LABU,"RW 01, 03, 07, 010",4.0,0.0,0.0,0.0,80 - 100 cm,"3 - 5, 11 - 12
(5 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Jakarta Selatan,KEBAYORAN BARU,CIPETE UTARA,"RW 02, 06",2.0,0.0,0.0,0.0,50 - 60 cm,"11 - 12, 26
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,"RW 01, 02, 03",3.0,0.0,0.0,0.0,70 cm,"10 - 12, 26 - 27
(5 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,"RW 07, 010",2.0,0.0,0.0,0.0,20 - 50 cm,"4 - 5, 11 - 12
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,"RW 01, 02, 03, 04",4.0,0.0,0.0,0.0,30 - 60 cm,"11 - 12, 26
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Jakarta Selatan,PANCORAN,RAWAJATI,RW 07,1.0,0.0,0.0,0.0,30 - 50 cm,"11, 14, 22 - 23
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,"RW 01, 03, 04",3.0,0.0,350.0,1200.0,30 - 100 cm,"11 - 12, 26
(3 Hari)",0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0
17,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"RW 05, 06, 07, 08",4.0,0.0,10.0,0.0,60 cm,"14, 20
(2 Hari)",0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0
18,Jakarta Selatan,PASAR MINGGU,RAGUNAN,"RW 01, 03, 05, 08, 09",5.0,0.0,0.0,0.0,50 - 60 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,RW 01,1.0,0.0,0.0,0.0,15 - 40 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Jakarta Selatan,SETIA BUDI,KARET SEMANGGI,RW 04,1.0,0.0,0.0,0.0,30 - 60 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Jakarta Selatan,TEBET,KEBON BARU,RW 010,1.0,0.0,0.0,0.0,20 cm,"14
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Jakarta Selatan,TEBET,BUKIT DURI,RW 010,1.0,0.0,0.0,0.0,10 - 40 cm,"11
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Jakarta Timur,CAKUNG,CAKUNG TIMUR,"RW 05, 09",2.0,0.0,0.0,0.0,30 - 45 cm,"1 - 2
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Jakarta Timur,CAKUNG,PULO GEBANG,"RW 05, 06",2.0,0.0,0.0,0.0,40 - 60 cm,"1 - 2, 18 - 19
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Jakarta Timur,CIRACAS,CIBUBUR,"RW 02, 03, 010, 012",4.0,0.0,0.0,0.0,30 - 80 cm,"1 - 2, 19
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Jakarta Timur,CIRACAS,APA DUA WETAN,RW 02,1.0,0.0,0.0,0.0,10 - 30 cm,"22 - 23
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Jakarta Timur,CIRACAS,RAMBUTAN,"RW 02, 03, 05, 06",4.0,0.0,0.0,0.0,25 - 80 cm,"1 - 2
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Jakarta Timur,DUREN SAWIT,PONDOK BAMBU,RW 04,1.0,0.0,0.0,0.0,10 - 30 cm,"11 - 12
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Jakarta Timur,JATINEGARA,BIDARA CINA,"RW 05, 07, 011",3.0,0.0,0.0,0.0,20 - 40 cm,"14, 20
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Jakarta Timur,JATINEGARA,CIPINANG MUARA,RW 013,1.0,0.0,0.0,0.0,30 - 40 cm,"1 - 2
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,"RW 04, 05, 07, 08",4.0,0.0,246.0,835.0,40 - 100 cm,"10 - 11, 14, 20, 22 - 23
(6 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Jakarta Timur,KRAMAT JATI,CAWANG,"RW 01, 02, 03, 05, 08",5.0,0.0,0.0,0.0,50 - 120 cm,"14, 20
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Jakarta Timur,KRAMAT JATI,CILILITAN,"RW 05, 06, 07",3.0,0.0,0.0,0.0,20 - 50 cm,"14, 20
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Jakarta Timur,MAKASAR,CIPINANG MELAYU,"RW 03, 04",2.0,0.0,0.0,0.0,70 - 200 cm,"1 - 2, 11 - 13, 19 - 20, 22 - 23
(9 Hari)",0.0,0.0,0.0,0.0,212.0,4.0,0.0,0.0
35,Jakarta Timur,MAKASAR,KEBON PALA,"RW 09, 010",2.0,0.0,0.0,0.0,10 - 20 cm,"12 - 13
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Jakarta Timur,MAKASAR,MAKASAR,RW 05,1.0,0.0,0.0,0.0,20 - 30 cm,"22 - 23
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Jakarta Timur,PASAR REBO,KALISARI,RW 03,1.0,0.0,0.0,0.0,10 - 50 cm,"22 - 23
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Jakarta Timur,PASAR REBO,PEKAYON,"RW 04, 07",2.0,0.0,0.0,0.0,50 - 80 cm,"1 - 2
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Jakarta Barat,KALIDERES,KAMAL,"01, 04",2.0,6.0,0.0,0.0,20 s/d 30 cm,"tgl. 03, 04, 06, 20",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR BARU,"01,06, 07",3.0,2.0,0.0,0.0,10 s/d 20 cm,"tgl. 05, 06, 07, 09",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Jakarta Selatan,PASAR MINGGU,JATI PADANG,6,1.0,1.0,8.0,35.0,5 - 50 cm,"tgl. 01, 11, 16, 20",0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0
42,Jakarta Selatan,PANCORAN,KALIBATA,"05, 09, 10",3.0,3.0,0.0,0.0,20 s/d 30 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Jakarta Selatan,SETIABUDI,KUNINGAN TIMUR,5,1.0,1.0,0.0,0.0,20 s/d 25 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Jakarta Selatan,TEBET,KEBON BARU,6,1.0,1.0,0.0,0.0,40 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Jakarta Selatan,TEBET,BUKIT DURI,"04, 06, 08",3.0,3.0,0.0,0.0,20 s/d 30 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Jakarta Selatan,TEBET,MANGGARAI,3,1.0,1.0,0.0,0.0,20 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Jakarta Selatan,JAGAKARSA,JAGAKARSA,3,1.0,1.0,0.0,0.0,10 s/d 20 cm,tgl. 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Jakarta Selatan,CILANDAK,PONDOK LABU,1,1.0,1.0,0.0,0.0,50 s/d 70 cm,tgl. 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Jakarta Timur,MAKASAR,CIPINANG MELAYU,"RW. 03, 04",2.0,11.0,0.0,0.0,20 s/d 50 cm,"tgl. 11, 16, 17, 20",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Jakarta Timur,JATINEGARA,CIPINANG MUARA,13,1.0,3.0,0.0,0.0,20 s/d 40 cm,tgl. 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Jakarta Timur,CAKUNG,RAWA TERATE,5,1.0,1.0,0.0,0.0,20 s/d 40 cm,tgl. 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Jakarta Timur,PASAR REBO,KALISARI,"03, 11",2.0,2.0,0.0,0.0,20 s/d 40 cm,tgl. 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Jakarta Timur,KRAMAT JATI,CILILITAN,1,1.0,1.0,0.0,0.0,10 s/d 50 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Jakarta Utara,PENJARINGAN,KAPUK MUARA,"01,",1.0,4.0,0.0,0.0,5 s/d 15 cm,"tgl. 03, 06",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Jakarta Utara,PENJARINGAN,KAMAL MUARA,"01, 04,",2.0,2.0,0.0,0.0,10 s/d 50 cm,"tgl. 03, 04, 05, 06, 07, 08",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Jakarta Utara,PENJARINGAN,PENJARINGAN,"01, 02, 03, 17",4.0,4.0,0.0,0.0,5 s/d 30 cm,"tgl. 03, 05, 06",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Jakarta Utara,PENJARINGAN,PLUIT,"01, 11, 20, 22",4.0,4.0,0.0,0.0,10 s/d 30 cm,"tgl. 04, 05, 06",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Jakarta Utara,PENJARINGAN,PEJAGALAN,016,1.0,1.0,0.0,0.0,10 s/d 20 cm,tgl 05 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Jakarta Utara,CILINCING,MARUNDA,"01, 02, 04 ,06, 07, 09",6.0,6.0,123.0,369.0,5 s/d 30 cm,"tgl. 04, 05, 06",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Jakarta Utara,CILINCING,CILINCING,"06, 09",2.0,2.0,0.0,0.0,5 s/d 15 cm,tgl. 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Jakarta Utara,PADEMANGAN,ANCOL,10,1.0,1.0,0.0,0.0,10 s/d 15 cm,tgl. 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Jakarta Utara,TANJUNG PRIOK,SUNTER AGUNG,"03, 06, 08",3.0,3.0,0.0,0.0,05 s/d 15 cm,"tgl. 05, 06, 07",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Jakarta Utara,KOJA,KOJA,11,1.0,1.0,0.0,0.0,10 s/d 15 cm,tgl. 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,"02, 03",2.0,5.0,0.0,0.0,10 s/d 20 cm,tgl. 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Jakarta Barat,CENGKARENG,CENGKARENG BARAT,2.0,0.0,0.0,0.0,80 cm,"21 - 24
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Jakarta Barat,CENGKARENG,CENGKARENG TIMUR,2.0,0.0,0.0,0.0,30 - 40 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Jakarta Barat,CENGKARENG,KAPUK,14.0,0.0,586.0,1388.0,80 - 90 cm,"21 - 23
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Jakarta Barat,CENGKARENG,KEDAUNG KALI ANGKE,3.0,0.0,0.0,0.0,40 - 100 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Jakarta Barat,CENGKARENG,RAWA BUAYA,10.0,0.0,0.0,0.0,100 cm,"20 - 24
(5 Hari)",0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0
70,Jakarta Barat,GROGOL PETAMBURAN,WIJAYA KESUMA,1.0,0.0,0.0,0.0,10 cm,"16
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Jakarta Barat,KALI DERES,SEMANAN,4.0,0.0,0.0,0.0,40 cm,"21
(1 Hari)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Jakarta Barat,KALI DERES,TEGAL ALUR,13.0,0.0,0.0,0.0,50 - 80 cm,"21 - 23
(3 Hari)",0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0
73,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,1.0,0.0,0.0,0.0,20 - 70 cm,"26
(1 Hari)",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Jakarta Barat,KEBON JERUK,KEDOYA UTARA,4.0,0.0,0.0,0.0,30 - 60 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,1.0,0.0,0.0,0.0,40 cm,"24
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,4.0,0.0,0.0,0.0,60 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0
77,Jakarta Barat,TAMAN SARI,GLODOK,1.0,0.0,0.0,0.0,50 cm,"21
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Jakarta Pusat,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,2.0,0.0,0.0,0.0,30 - 70 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Jakarta Pusat,KEMAYORAN,SERDANG,1.0,0.0,0.0,0.0,30 - 70 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Jakarta Pusat,TANAH ABANG,PETAMBURAN,2.0,0.0,0.0,0.0,10 - 40 cm,"14, 21
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Jakarta Selatan,CILANDAK,CIPETE SELATAN,1.0,0.0,0.0,0.0,30 - 60 cm,"26
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Jakarta Selatan,CILANDAK,PONDOK LABU,2.0,0.0,0.0,0.0,25 - 50 cm,"24, 26
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Jakarta Selatan,KEBAYORAN BARU,PETOGOGAN,2.0,0.0,0.0,0.0,20 - 50 cm,"12, 21 - 22, 24
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,1.0,0.0,0.0,0.0,40 - 50 cm,"16, 24 - 26
(4 Hari)",0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
85,Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,5.0,0.0,0.0,0.0,10 - 20 cm,"19, 25 - 26
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,1.0,0.0,0.0,0.0,10 cm,"24
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,2.0,0.0,0.0,0.0,80 cm,"24
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,3.0,0.0,0.0,0.0,30 - 50 cm,"19, 21 - 22, 26
(4 Hari)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,2.0,0.0,0.0,0.0,100 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Jakarta Selatan,PANCORAN,KALIBATA,5.0,0.0,0.0,0.0,60 - 120 cm,"21
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Jakarta Selatan,PANCORAN,PENGADEGAN,2.0,0.0,30.0,120.0,20 - 80 cm,"16, 21 - 22
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Jakarta Selatan,PANCORAN,RAWAJATI,1.0,0.0,0.0,0.0,20 - 40 cm,"12 - 13, 15 - 17, 25 - 26
(7 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,2.0,0.0,0.0,0.0,20 - 50 cm,"12 - 13, 26
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Jakarta Selatan,PASAR MINGGU,JATI PADANG,3.0,0.0,0.0,0.0,10 - 20 cm,"19, 21 - 22
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Jakarta Selatan,PASAR MINGGU,PEJATEN BARAT,1.0,0.0,0.0,0.0,10 - 20 cm,"19
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,6.0,0.0,293.0,0.0,40 - 150 cm,"16, 19, 25 - 28
(6 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,2.0,0.0,0.0,0.0,20 - 60 cm,"24 - 26
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Jakarta Selatan,TEBET,BUKIT DURI,3.0,0.0,700.0,2600.0,30 - 160 cm,"12 - 13, 15 - 16, 21 - 22
(6 Hari)",0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0
99,Jakarta Selatan,TEBET,KEBON BARU,1.0,0.0,300.0,700.0,20 - 120 cm,"16
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Jakarta Timur,CAKUNG,CAKUNG TIMUR,1.0,0.0,0.0,0.0,30 - 90 cm,"19
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Jakarta Timur,CAKUNG,PENGGILINGAN,8.0,0.0,1200.0,2950.0,50 - 100 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,1450.0,0.0,0.0,0.0,0.0
102,Jakarta Timur,CAKUNG,PULO GEBANG,1.0,0.0,0.0,0.0,10 - 30 cm,"11
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Jakarta Timur,CAKUNG,RAWA TERATE,3.0,0.0,0.0,0.0,100 - 200 cm,"19, 21 - 25
(6 Hari)",0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0
104,Jakarta Timur,CIPAYUNG,CEGER,1.0,0.0,0.0,0.0,50 - 70 cm,"21
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Jakarta Timur,CIRACAS,CIBUBUR,4.0,0.0,0.0,0.0,10 - 50 cm,"15 - 16, 25 - 26
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Jakarta Timur,CIRACAS,RAMBUTAN,4.0,0.0,0.0,0.0,10 - 30 cm,"16, 19, 21 - 22
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Jakarta Timur,DUREN SAWIT,KLENDER,2.0,0.0,0.0,0.0,60 - 100 cm,"21
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Jakarta Timur,DUREN SAWIT,PONDOK BAMBU,2.0,0.0,0.0,0.0,100 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Jakarta Timur,DUREN SAWIT,PONDOK APA,4.0,0.0,237.0,935.0,50 - 150 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
110,Jakarta Timur,JATINEGARA,BALI MESTER,1.0,0.0,0.0,0.0,40 cm,"15
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Jakarta Timur,JATINEGARA,BIDARA CINA,7.0,0.0,0.0,0.0,20 - 30 cm,"12 - 13, 15 - 16, 21 - 22, 26 - 27
(8 Hari)",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Jakarta Timur,JATINEGARA,CIPINANG MUARA,1.0,0.0,284.0,350.0,250 cm,"19 - 22
(4 Hari)",0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
113,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,6.0,0.0,443.0,1678.0,30 - 100 cm,"11 - 17, 21 - 22, 25 - 28
(13 Hari)",0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
114,Jakarta Timur,KRAMAT JATI,CAWANG,5.0,22.0,1188.0,3896.0,70 - 100 cm,"12 - 13, 15 - 16, 21 - 22, 25 - 28
(10 Hari)",0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0
115,Jakarta Timur,KRAMAT JATI,CILILITAN,4.0,0.0,0.0,0.0,15 - 25 cm,"15 - 16
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Jakarta Timur,KRAMAT JATI,KRAMAT JATI,2.0,0.0,0.0,0.0,20 cm,"21
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Jakarta Timur,MAKASAR,CIPINANG MELAYU,9.0,0.0,908.0,2158.0,50 - 200 cm,"14, 16, 19 - 24, 26
(9 Hari)",0.0,0.0,0.0,0.0,1727.0,0.0,0.0,0.0,0.0
118,Jakarta Timur,MAKASAR,HALIM PERDANA KUSUMA,5.0,0.0,798.0,2550.0,50 - 70 cm,"19, 21 - 22
(3 Hari)",0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0
119,Jakarta Timur,MAKASAR,KEBON PALA,3.0,0.0,0.0,0.0,10 - 50 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Jakarta Timur,MAKASAR,MAKASAR,4.0,0.0,0.0,0.0,40 - 47 cm,"19, 21 - 22
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Jakarta Timur,MATRAMAN,UTAN KAYU SELATAN,1.0,0.0,0.0,0.0,30 - 40 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Jakarta Timur,PASAR REBO,PEKAYON,4.0,0.0,0.0,0.0,60 cm,"21, 25 - 26
(3 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Jakarta Timur,PULO GADUNG,KAYU PUTIH,1.0,0.0,0.0,0.0,30 - 50 cm,"21 - 22
(2 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Jakarta Utara,CILINCING,CILINCING,1.0,0.0,0.0,0.0,20 - 30 cm,"17
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Jakarta Utara,CILINCING,SEMPER BARAT,8.0,0.0,0.0,0.0,20 - 30 cm,"17
(1 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Jakarta Utara,CILINCING,SEMPER TIMUR,4.0,0.0,0.0,0.0,15 - 20 cm,"17, 19 - 21
(4 Hari)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Jakarta Utara,CILINCING,SUKAPURA,1.0,0.0,0.0,0.0,40 - 50 cm,"21
(1 Hari)",0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
