,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
1023,Jakarta Selatan,PANCORAN,PENGADEGAN,rw 01,1.0,1.0,0,0,90 cm,"1, 28 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,Jakarta Selatan,PANCORAN,RAWAJATI,rw 07,1.0,3.0,0,0,10 s/d 40 cm,"1, 27 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,Jakarta Selatan,PANCORAN,DUREN TIGA,rw 05,1.0,1.0,0,0,60 cm,20 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,Jakarta Selatan,TEBET,KEBON BARU,"rw 05, 06, 10",3.0,3.0,0,0,5 s/d 60 cm,"1, 16, 20 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1027,Jakarta Selatan,TEBET,BUKIT DURI,rw 12,1.0,1.0,0,0,80 cm,1 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,Jakarta Selatan,KEBAYORAN LAMA,CIPULIR,rw 10,1.0,2.0,0,0,20 s/d 100 cm,"2, 16, 18, 20 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,"rw 01, 05, 08",3.0,7.0,0,0,10 s/d 115 cm,"2, 16, 17, 20, 28 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1030,Jakarta Selatan,PESANGGRAHAN,BINTARO,"rw 05, 11, 10, 14",4.0,5.0,0,0,10 s/d 60 cm,"2, 16, 20 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031,Jakarta Selatan,CILANDAK,LEBAK BULUS,rw 08,1.0,1.0,0,0,70 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1032,Jakarta Selatan,CILANDAK,CIPETE SELATAN,rw 07,1.0,1.0,0,0,15 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033,Jakarta Selatan,CILANDAK,PONDOK LABU,"rw 01, 03, 07, 10",4.0,7.0,0,0,10 s/d 50 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1034,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,"rw 02, 03, 04",3.0,4.0,0,0,20 s/d 40 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
